iter,PID,start,end,instance,activation
0,5298,3138.146643660,3138.153985873,0,0
1,5298,3138.156834237,3138.162991010,0,0
2,5298,3138.166716070,3138.173859205,0,0
3,5298,3138.177047578,3138.183599530,0,0
4,5298,3138.186797695,3138.195563146,0,0
5,5298,3138.196718409,3138.208835341,0,0
6,5298,3138.208895375,3138.221297787,0,0
7,5298,3138.221348540,3138.225151394,0,0
8,5298,3138.226718636,3138.234756643,0,0
9,5298,3138.236713303,3138.242962303,0,0
10,5298,3138.247276434,3138.254178795,0,0
11,5298,3138.256718895,3138.271713600,0,0
12,5298,3138.271755265,3138.280169635,0,0
13,5298,3138.280221572,3138.286155107,0,0
14,5298,3138.288725736,3138.305653581,0,0
15,5298,3138.305714286,3138.316116805,0,0
16,5298,3138.316169062,3138.321636889,0,0
17,5298,3138.321685530,3138.330012601,0,0
18,5298,3138.330067770,3138.338686785,0,0
19,5298,3138.338727234,3138.347615664,0,0
20,5298,3138.347670962,3138.354044412,0,0
21,5298,3138.356833735,3138.362980907,0,0
22,5298,3138.366833843,3138.373021752,0,0
23,5298,3138.376704795,3138.390190724,0,0
24,5298,3138.390253701,3138.411198294,0,1
25,5298,3138.411350746,3138.413322831,0,1
26,5298,3138.421427592,3138.422713834,0,1
27,5298,3138.431620729,3138.432818553,0,1
28,5298,3138.441445312,3138.442192788,0,1
29,5298,3138.451640401,3138.454613600,0,1
30,5298,3138.461422967,3138.462397969,0,1
31,5298,3138.471415330,3138.472119509,0,1
32,5298,3138.483382722,3138.484834537,0,1
33,5298,3138.491435514,3138.492946882,0,1
34,5298,3138.501426565,3138.503265623,0,1
35,5298,3138.511615414,3138.512724436,0,1
36,5298,3138.521470078,3138.524791959,0,1
37,5298,3138.531424968,3138.533265210,0,1
38,5298,3138.541442325,3138.543457803,0,1
39,5298,3138.551621029,3138.553383188,0,1
40,5298,3138.561425644,3138.562281058,0,1
41,5298,3138.571465944,3138.572545461,0,1
42,5298,3138.581458532,3138.582470719,0,1
43,5298,3138.591428975,3138.592334279,0,1
44,5298,3138.601430842,3138.602845856,0,1
45,5298,3138.611421990,3138.612944943,0,1
46,5298,3138.621433586,3138.622583633,0,1
47,5298,3138.631647043,3138.633026312,0,1
48,5298,3138.641419657,3138.642295904,0,1
49,5298,3138.651425237,3138.652566547,0,1
50,5298,3138.661437185,3138.662138516,0,1
51,5298,3138.671736788,3138.672551210,0,1
52,5298,3138.681553467,3138.682456371,0,1
53,5298,3138.691426628,3138.692427774,0,1
54,5298,3138.701433647,3138.702268870,0,1
55,5298,3138.711610880,3138.712465431,0,1
56,5298,3138.721840274,3138.722665480,0,1
57,5298,3138.731437267,3138.732519440,0,1
58,5298,3138.741429086,3138.742299669,0,1
59,5298,3138.751432138,3138.752206367,0,1
60,5298,3138.761421557,3138.762341486,0,1
61,5298,3138.771430561,3138.772694531,0,1
62,5298,3138.781437421,3138.782277059,0,1
63,5298,3138.791432025,3138.792574487,0,1
64,5298,3138.801461573,3138.802402430,0,1
65,5298,3138.811501842,3138.814077335,0,1
66,5298,3138.821463228,3138.822310995,0,1
67,5298,3138.831495081,3138.832449827,0,1
68,5298,3138.841435347,3138.842455118,0,1
69,5298,3138.851439231,3138.852359480,0,1
70,5298,3138.861566094,3138.862292865,0,1
71,5298,3138.872174058,3138.872772186,0,1
72,5298,3138.881425058,3138.882709540,0,1
73,5298,3138.891427597,3138.892425096,0,1
74,5298,3138.901602238,3138.902792670,0,1
75,5298,3138.911516679,3138.912176185,0,1
76,5298,3138.921438801,3138.922368394,0,1
77,5298,3138.931434556,3138.932572827,0,1
78,5298,3138.941430664,3138.942498148,0,1
79,5298,3138.951422099,3138.952253322,0,1
80,5298,3138.961427199,3138.962177299,0,1
81,5298,3138.971434187,3138.972417125,0,1
82,5298,3138.982058471,3138.982922079,0,1
83,5298,3138.991456707,3138.992229560,0,1
84,5298,3139.001891098,3139.003140476,0,1
