iter,PID,start,end,instance,activation
0,5279,3136.214349919,3136.216513081,0,0
1,5279,3136.254446128,3136.254724984,0,0
2,5279,3136.294429599,3136.294437439,0,0
3,5279,3136.334435117,3136.335341862,0,0
4,5279,3136.374420604,3136.374471837,0,0
5,5279,3136.414431211,3136.415477607,0,0
6,5279,3136.454434426,3136.454492731,0,0
7,5279,3136.494451977,3136.494462537,0,0
8,5279,3136.534439703,3136.535525812,0,0
9,5279,3136.574427142,3136.574477191,0,0
10,5279,3136.614463990,3136.615157352,0,0
11,5279,3136.654424355,3136.654476869,0,0
12,5279,3136.694472307,3136.697978193,0,0
13,5279,3136.734648711,3136.739380773,0,1
14,5279,3136.774433744,3136.774959198,0,1
15,5279,3136.814445535,3136.817351757,0,1
16,5279,3136.854420621,3136.854490255,0,0
17,5279,3136.894453853,3136.894462013,0,0
18,5279,3136.934592495,3136.937425819,0,1
19,5279,3136.974424921,3136.974495387,0,0
20,5279,3137.014424584,3137.018754972,0,1
21,5279,3137.054430359,3137.055040391,0,1
22,5279,3137.094450246,3137.094614507,0,0
23,5279,3137.134528183,3137.137335394,0,1
24,5279,3137.174436899,3137.174482053,0,0
25,5279,3137.214428786,3137.217314975,0,1
26,5279,3137.254560548,3137.254639334,0,0
27,5279,3137.295581550,3137.296602314,0,1
28,5279,3137.334497696,3137.338752818,0,1
29,5279,3137.374528176,3137.374706740,0,0
30,5279,3137.414421500,3137.417150309,0,1
31,5279,3137.454452395,3137.454504268,0,0
32,5279,3137.494452026,3137.494462010,0,0
33,5279,3137.534456297,3137.539859961,0,1
34,5279,3137.574429943,3137.574494073,0,0
35,5279,3137.614421797,3137.617179375,0,1
36,5279,3137.654433620,3137.654629594,0,0
37,5279,3137.694838510,3137.694844398,0,0
38,5279,3137.735221991,3137.738576065,0,1
39,5279,3137.774445281,3137.775085650,0,1
40,5279,3137.814441360,3137.817236602,0,1
41,5279,3137.854429566,3137.854476639,0,0
42,5279,3137.894434637,3137.894440749,0,0
43,5279,3137.934535166,3137.937750612,0,1
44,5279,3137.974435242,3137.974483628,0,0
45,5279,3138.014429433,3138.017777395,0,1
46,5279,3138.054439624,3138.055095290,0,1
47,5279,3138.094445879,3138.094453367,0,0
