iter,PID,start,end,instance,activation
0,5270,3135.733405460,3135.740514547,0,0
1,5270,3135.743478690,3135.750022993,0,0
2,5270,3135.753478254,3135.757082414,0,0
3,5270,3135.763470233,3135.767263775,0,0
4,5270,3135.773489029,3135.776991011,0,0
5,5270,3135.783552883,3135.788164238,0,0
6,5270,3135.793484285,3135.801520916,0,0
7,5270,3135.804086649,3135.813207789,0,0
8,5270,3135.813470292,3135.820663316,0,0
9,5270,3135.823486720,3135.831090187,0,0
10,5270,3135.833485900,3135.839829045,0,0
11,5270,3135.843486743,3135.850650679,0,0
12,5270,3135.853488067,3135.860077939,0,0
13,5270,3135.863485455,3135.872223961,0,0
14,5270,3135.876698320,3135.891029808,0,0
15,5270,3135.891095922,3135.906798390,0,0
16,5270,3135.906887032,3135.917754139,0,0
17,5270,3135.917815037,3135.929000552,0,0
18,5270,3135.929056746,3135.942853723,0,0
19,5270,3135.942922237,3135.953643452,0,0
20,5270,3135.953691933,3135.965266675,0,0
21,5270,3135.965328597,3135.977438937,0,0
22,5270,3135.977487066,3135.992912695,0,0
23,5270,3135.992967321,3136.015880702,0,0
24,5270,3136.015983361,3136.023963606,0,0
25,5270,3136.026058126,3136.037824809,0,0
26,5270,3136.037865739,3136.056315224,0,0
27,5270,3136.056363162,3136.070919967,0,0
28,5270,3136.070990849,3136.082244527,0,0
29,5270,3136.082301840,3136.091687243,0,0
30,5270,3136.091752269,3136.105455356,0,0
31,5270,3136.105525022,3136.120867224,0,0
32,5270,3136.120930170,3136.130507130,0,0
33,5270,3136.131009864,3136.142493019,0,0
34,5270,3136.142548925,3136.154471612,0,0
35,5270,3136.154508157,3136.163001504,0,0
36,5270,3136.163070242,3136.171117114,0,0
37,5270,3136.171173659,3136.180454900,0,0
38,5270,3136.181502960,3136.191895014,0,0
39,5270,3136.191932871,3136.204548985,0,0
40,5270,3136.204597754,3136.218332489,0,0
41,5270,3136.218362986,3136.224306473,0,0
42,5270,3136.224359883,3136.241603416,0,0
43,5270,3136.241651962,3136.252988617,0,0
44,5270,3136.253063467,3136.261281095,0,0
45,5270,3136.261731507,3136.270074195,0,0
46,5270,3136.271726431,3136.278466131,0,0
47,5270,3136.284204717,3136.290306512,0,0
48,5270,3136.291727862,3136.296503190,0,0
49,5270,3136.301738882,3136.313497405,0,0
50,5270,3136.313554238,3136.318925038,0,0
51,5270,3136.321735353,3136.328544848,0,0
52,5270,3136.331728261,3136.338128720,0,0
53,5270,3136.341742097,3136.347600398,0,0
54,5270,3136.351731932,3136.357136205,0,0
55,5270,3136.361742600,3136.367209659,0,0
56,5270,3136.371734484,3136.379838637,0,0
57,5270,3136.381741984,3136.387476249,0,0
58,5270,3136.391744236,3136.399081392,0,0
59,5270,3136.401724951,3136.408651216,0,0
60,5270,3136.411748099,3136.422962959,0,0
61,5270,3136.423020561,3136.432267656,0,0
62,5270,3136.432308521,3136.435891497,0,0
63,5270,3136.441767111,3136.448612734,0,0
64,5270,3136.451832276,3136.458829775,0,0
65,5270,3136.461737597,3136.467977572,0,0
66,5270,3136.471749417,3136.475335177,0,0
67,5270,3136.481737621,3136.489476100,0,0
68,5270,3136.491738976,3136.499537457,0,0
69,5270,3136.501762061,3136.510668667,0,0
70,5270,3136.511731383,3136.517448017,0,0
71,5270,3136.521724163,3136.528736703,0,0
72,5270,3136.531776592,3136.539477790,0,0
73,5270,3136.541739099,3136.547575479,0,0
74,5270,3136.551890122,3136.555700464,0,0
75,5270,3136.561724178,3136.567536877,0,0
76,5270,3136.571737150,3136.577666204,0,0
77,5270,3136.581810411,3136.591261672,0,0
78,5270,3136.591730965,3136.598046110,0,0
79,5270,3136.601741985,3136.608594072,0,0
80,5270,3136.611812463,3136.614496694,0,1
81,5270,3136.621767673,3136.623043739,0,1
82,5270,3136.631733860,3136.632919460,0,1
83,5270,3136.641776209,3136.643018450,0,1
84,5270,3136.651730011,3136.652756215,0,1
85,5270,3136.661747719,3136.662695809,0,1
86,5270,3136.671735763,3136.673002741,0,1
87,5270,3136.681732030,3136.683798038,0,1
88,5270,3136.691758379,3136.693391670,0,1
89,5270,3136.701731382,3136.702730480,0,1
90,5270,3136.711944295,3136.712922529,0,1
91,5270,3136.721916114,3136.722845739,0,1
92,5270,3136.731728921,3136.732704531,0,1
93,5270,3136.741729092,3136.742672990,0,1
94,5270,3136.751748816,3136.752866062,0,1
95,5270,3136.761739292,3136.762736375,0,1
96,5270,3136.771747208,3136.773096460,0,1
97,5270,3136.781768020,3136.783004373,0,1
98,5270,3136.791731743,3136.792699609,0,1
99,5270,3136.802146646,3136.803021357,0,1
100,5270,3136.811770103,3136.812795251,0,1
101,5270,3136.821734594,3136.822527735,0,1
102,5270,3136.832137432,3136.833033872,0,1
103,5270,3136.841727449,3136.842624113,0,1
104,5270,3136.851738341,3136.852802146,0,1
105,5270,3136.861784114,3136.862661706,0,1
106,5270,3136.871886304,3136.872856634,0,1
107,5270,3136.882026448,3136.882849542,0,1
108,5270,3136.892109502,3136.893335871,0,1
109,5270,3136.901935333,3136.904294276,0,1
110,5270,3136.911727819,3136.912721926,0,1
111,5270,3136.921767512,3136.923885520,0,1
112,5270,3136.931729954,3136.932942435,0,1
113,5270,3136.941749359,3136.942786026,0,1
114,5270,3136.951735770,3136.952744853,0,1
115,5270,3136.961729925,3136.962703552,0,1
116,5270,3136.972111195,3136.973522785,0,1
117,5270,3136.981735901,3136.982576820,0,1
118,5270,3136.991729577,3136.992567903,0,1
119,5270,3137.001743765,3137.002650893,0,1
120,5270,3137.011739456,3137.012651865,0,1
121,5270,3137.023160210,3137.024179725,0,1
122,5270,3137.031748664,3137.033354499,0,1
123,5270,3137.041753764,3137.042605466,0,1
124,5270,3137.051731055,3137.053118452,0,1
125,5270,3137.061735707,3137.062719221,0,1
126,5270,3137.071845193,3137.073126283,0,1
127,5270,3137.081868021,3137.082853872,0,1
128,5270,3137.091807551,3137.093627184,0,1
129,5270,3137.101774538,3137.103541018,0,1
130,5270,3137.111736021,3137.112653006,0,1
131,5270,3137.121826755,3137.123108517,0,1
132,5270,3137.131751021,3137.133166963,0,1
133,5270,3137.141739704,3137.144510498,0,1
134,5270,3137.152616987,3137.153457938,0,1
135,5270,3137.161769520,3137.162624551,0,1
136,5270,3137.171729115,3137.173859444,0,1
137,5270,3137.181754151,3137.182579965,0,1
138,5270,3137.192055259,3137.193978767,0,1
139,5270,3137.201736830,3137.202593653,0,1
140,5270,3137.211738858,3137.213685822,0,1
141,5270,3137.221729365,3137.222527083,0,1
142,5270,3137.231749506,3137.233019364,0,1
143,5270,3137.241738669,3137.242617701,0,1
144,5270,3137.251728216,3137.252837366,0,1
145,5270,3137.261730180,3137.262779552,0,1
146,5270,3137.271741040,3137.272632264,0,1
147,5270,3137.282859034,3137.286102705,0,1
148,5270,3137.291746632,3137.293311730,0,1
149,5270,3137.301836950,3137.303662375,0,1
150,5270,3137.311738911,3137.312682552,0,1
151,5270,3137.321728106,3137.322660675,0,1
152,5270,3137.331930075,3137.333267839,0,1
153,5270,3137.342049418,3137.342935938,0,1
