iter,PID,start,end,instance,activation
0,5338,3143.913593938,3143.913862873,0,0
1,5338,3143.947010641,3143.947293720,409,0
2,5338,3143.980330861,3143.981359848,409,1
3,5338,3144.013714858,3144.014021747,409,0
4,5338,3144.047013766,3144.047231660,410,0
5,5338,3144.080346818,3144.081612644,410,1
6,5338,3144.113670142,3144.113883300,410,0
7,5338,3144.147011258,3144.147203584,411,0
8,5338,3144.181159085,3144.183367016,411,1
9,5338,3144.213668627,3144.213878616,411,0
10,5338,3144.247002703,3144.247214485,412,0
11,5338,3144.280332587,3144.281456649,412,1
12,5338,3144.313666184,3144.313881805,412,0
13,5338,3144.346994372,3144.347239402,413,0
14,5338,3144.382947558,3144.385142241,413,1
15,5338,3144.416352612,3144.416529641,413,0
16,5338,3144.447007001,3144.447226527,414,0
17,5338,3144.480334229,3144.481217677,414,1
18,5338,3144.513679698,3144.513904856,414,0
19,5338,3144.547007278,3144.547284789,415,0
20,5338,3144.582697993,3144.583650819,415,1
21,5338,3144.613721128,3144.613925101,415,0
22,5338,3144.646997090,3144.647231497,416,0
23,5338,3144.683582678,3144.685566475,416,1
24,5338,3144.713703324,3144.713860512,416,0
25,5338,3144.748153974,3144.748417821,417,0
26,5338,3144.780337428,3144.781368239,417,1
27,5338,3144.813675920,3144.813896662,417,0
28,5338,3144.848090281,3144.851216285,418,0
29,5338,3144.884098221,3144.885170730,418,1
30,5338,3144.913674981,3144.913942764,418,0
31,5338,3144.947004097,3144.947235911,419,0
32,5338,3144.980339133,3144.981233749,419,1
33,5338,3145.013669146,3145.013887327,419,0
34,5338,3145.046998006,3145.047205083,420,0
35,5338,3145.080342226,3145.081257611,420,1
36,5338,3145.113704399,3145.113937782,420,0
37,5338,3145.147003019,3145.147243537,421,0
38,5338,3145.180337735,3145.181337250,421,1
39,5338,3145.213666947,3145.213914666,421,0
40,5338,3145.246999008,3145.247202789,422,0
41,5338,3145.280335644,3145.281738241,422,1
42,5338,3145.313673528,3145.313947264,422,0
43,5338,3145.346996148,3145.347232187,423,0
44,5338,3145.380482581,3145.381407597,423,1
45,5338,3145.413687310,3145.413889907,423,0
46,5338,3145.447005033,3145.447192302,424,0
47,5338,3145.480330725,3145.481258526,424,1
48,5338,3145.513703683,3145.513942057,424,0
49,5338,3145.547019455,3145.547241189,425,0
50,5338,3145.580348219,3145.581338709,425,1
51,5338,3145.613664823,3145.613882140,425,0
52,5338,3145.646998259,3145.647170744,426,0
53,5338,3145.680345168,3145.681309417,426,1
54,5338,3145.713708013,3145.713945747,426,0
55,5338,3145.746996200,3145.747228334,427,0
56,5338,3145.780344580,3145.781383200,427,1
57,5338,3145.813677729,3145.813910535,427,0
58,5338,3145.847011453,3145.849062516,428,0
59,5338,3145.880338617,3145.881704830,428,1
60,5338,3145.913679926,3145.913841466,428,0
61,5338,3145.947345179,3145.947590817,429,0
62,5338,3145.980354574,3145.981312936,429,1
63,5338,3146.013670314,3146.013988755,429,0
64,5338,3146.046998118,3146.047131914,430,0
65,5338,3146.080339651,3146.081793674,430,1
66,5338,3146.113675455,3146.113917638,430,0
67,5338,3146.147005467,3146.147186464,431,0
68,5338,3146.180343704,3146.181572441,431,1
69,5338,3146.213684148,3146.213917946,431,0
70,5338,3146.247006320,3146.247240310,432,0
71,5338,3146.280329292,3146.281307398,432,1
72,5338,3146.313687209,3146.313911791,432,0
73,5338,3146.347013765,3146.347200298,433,0
74,5338,3146.380350594,3146.381391837,433,1
75,5338,3146.413740159,3146.413939909,433,0
76,5338,3146.447002650,3146.447137725,434,0
77,5338,3146.480336374,3146.481655705,434,1
78,5338,3146.513671506,3146.513884600,434,0
79,5338,3146.547002671,3146.547190196,435,0
80,5338,3146.580347435,3146.581323461,435,1
81,5338,3146.613670855,3146.613884525,435,0
82,5338,3146.647023908,3146.647154824,436,0
83,5338,3146.680450051,3146.681421629,436,1
84,5338,3146.713734686,3146.713936227,436,0
85,5338,3146.747006200,3146.747198878,437,0
86,5338,3146.780549466,3146.781716890,437,1
87,5338,3146.813662321,3146.813915639,437,0
88,5338,3146.847070735,3146.848275343,438,0
89,5338,3146.880362314,3146.881352037,438,1
90,5338,3146.913701607,3146.914125458,438,0
91,5338,3146.947476143,3146.947664820,439,0
92,5338,3146.983116585,3146.984892248,439,1
93,5338,3147.013665274,3147.013849279,439,0
94,5338,3147.047012087,3147.047158715,440,0
95,5338,3147.080333939,3147.081619477,440,1
96,5338,3147.113674672,3147.113871829,440,0
97,5338,3147.147092558,3147.147267763,441,0
98,5338,3147.180339240,3147.181335235,441,1
99,5338,3147.213754631,3147.213952204,441,0
100,5338,3147.247020545,3147.247168901,442,0
101,5338,3147.280342685,3147.281794596,442,1
102,5338,3147.313678809,3147.313905695,442,0
103,5338,3147.347029590,3147.347235932,443,0
104,5338,3147.380332562,3147.381230890,443,1
105,5338,3147.413696143,3147.413924437,443,0
106,5338,3147.447016075,3147.447186031,444,0
107,5338,3147.480333190,3147.481368610,444,1
108,5338,3147.513670371,3147.513878888,444,0
109,5338,3147.547011647,3147.547208133,445,0
110,5338,3147.583410766,3147.584831444,445,1
111,5338,3147.613695896,3147.613924734,445,0
112,5338,3147.647004628,3147.647151416,446,0
113,5338,3147.680340976,3147.681380684,446,1
114,5338,3147.713693293,3147.713901203,446,0
115,5338,3147.747010121,3147.747182638,447,0
116,5338,3147.780357190,3147.782999884,447,1
117,5338,3147.813681154,3147.813880935,447,0
118,5338,3147.848098331,3147.849657445,448,0
119,5338,3147.880476318,3147.881431127,448,1
120,5338,3147.913819194,3147.913995935,448,0
121,5338,3147.946998290,3147.947177975,449,0
122,5338,3147.980334575,3147.981452845,449,1
123,5338,3148.013678091,3148.013877937,449,0
124,5338,3148.047009127,3148.047146251,450,0
