iter,PID,start,end,instance,activation,response_time
0,5199,3129.578258612,3129.590900647,0,1,0.012642035000226315
1,5199,3129.678256713,3129.713569946,0,1,0.035313233000124455
2,5199,3129.778242622,3129.815108793,0,1,0.03686617099992873
3,5199,3129.878236691,3129.918058332,0,1,0.039821640999889496
4,5199,3129.978244552,3130.014085447,0,1,0.03584089500009213
5,5199,3130.078340127,3130.112841723,0,1,0.03450159600015468
6,5199,3130.178804737,3130.211924087,0,1,0.03311935000010635
7,5199,3130.278236262,3130.308618868,0,1,0.030382605999875523
8,5199,3130.378303197,3130.411280880,0,1,0.032977682999899116
9,5199,3130.478241104,3130.509289871,0,1,0.031048766999902
10,5199,3130.578231813,3130.608087812,0,1,0.029855999000119482
11,5199,3130.678239386,3130.707736816,0,1,0.029497429999992164
12,5199,3130.778249039,3130.807748261,0,1,0.029499222000140435
13,5199,3130.878237156,3130.906850114,0,1,0.02861295799993968
14,5199,3130.978264025,3131.008221339,0,1,0.029957314000057522
15,5199,3131.078261550,3131.106093719,0,1,0.027832168999793794
16,5199,3131.178250371,3131.207109607,0,1,0.028859235999789234
17,5199,3131.278238936,3131.307120605,0,1,0.02888166899992939
18,5199,3131.378236652,3131.406434527,0,1,0.028197874999932537
19,5199,3131.478255202,3131.507661365,0,1,0.02940616299974863
20,5199,3131.578231030,3131.605155399,0,1,0.026924368999971193
21,5199,3131.678237643,3131.706178135,0,1,0.027940491999743244
22,5199,3131.778236832,3131.807262985,0,1,0.029026152999904298
23,5199,3131.878236053,3131.906200642,0,1,0.02796458900002108
24,5199,3131.978235562,3132.007512730,0,1,0.029277168000135134
25,5199,3132.078342626,3132.105849346,0,1,0.027506720000019413
26,5199,3132.180076069,3132.213183675,0,1,0.03310760600015783
27,5199,3132.278238569,3132.306414299,0,1,0.0281757299999299
28,5199,3132.378241054,3132.406856508,0,1,0.028615454000373575
29,5199,3132.478246387,3132.507346078,0,1,0.029099690999828454
30,5199,3132.578242760,3132.605775465,0,1,0.027532704999885027
31,5199,3132.678240156,3132.706500433,0,1,0.02826027700029954
32,5199,3132.778456823,3132.804781208,0,1,0.0263243849999526
33,5199,3132.878243974,3132.905583522,0,1,0.02733954800032734
34,5199,3132.978247131,3133.005367921,0,1,0.027120790000026318
35,5199,3133.078236752,3133.104570289,0,1,0.026333537000027718
36,5199,3133.178232741,3133.207044456,0,1,0.028811714999847027
37,5199,3133.278269691,3133.306555184,0,1,0.028285493000112183
38,5199,3133.378247343,3133.406665832,0,1,0.028418488999705005
39,5199,3133.478246340,3133.506359061,0,1,0.028112720999615703
40,5199,3133.578236793,3133.604887522,0,1,0.02665072899981169
41,5199,3133.678259694,3133.705922483,0,1,0.027662788999805343
42,5199,3133.778244579,3133.804612389,0,1,0.02636781000001065
43,5199,3133.878234743,3133.917690423,0,1,0.039455679999718996
44,5199,3133.978290926,3134.006338429,0,1,0.0280475029999252
45,5199,3134.078258498,3134.104234969,0,1,0.02597647099992173
46,5199,3134.178246902,3134.208486080,0,1,0.030239178000101674
47,5199,3134.278259948,3134.305306560,0,1,0.02704661200004921
48,5199,3134.378240384,3134.404886409,0,1,0.026646024999990914
49,5199,3134.478237589,3134.511099589,0,1,0.03286200000002282
50,5199,3134.578261642,3134.620309840,0,1,0.042048197999974946
51,5199,3134.678259359,3134.712282286,0,1,0.03402292700002363
52,5199,3134.778349655,3134.807660583,0,1,0.029310928000086278
53,5199,3134.878238440,3134.905523907,0,1,0.02728546699972867
54,5199,3134.978233309,3135.004992906,0,1,0.026759596999909263
55,5199,3135.078238514,3135.105353736,0,1,0.027115221999792993
56,5199,3135.178338410,3135.204694379,0,1,0.026355969000178447
57,5199,3135.278261981,3135.305295248,0,1,0.02703326700020625
58,5199,3135.378234193,3135.405831220,0,1,0.027597026999956142
59,5199,3135.478235910,3135.507432371,0,1,0.029196461000083218
60,5199,3135.578232859,3135.604412279,0,1,0.026179420000062237
61,5199,3135.678839712,3135.713823336,0,1,0.03498362400023325
62,5199,3135.778257445,3135.810284094,0,1,0.0320266490002723
63,5199,3135.878309467,3135.913256163,0,1,0.03494669600013367
64,5199,3135.978240878,3136.004808566,0,1,0.026567687999886402
65,5199,3136.078270084,3136.112446359,0,1,0.03417627499993614
66,5199,3136.178247256,3136.211425585,0,1,0.03317832900029316
67,5199,3136.278233997,3136.311661772,0,1,0.03342777500029115
68,5199,3136.378243938,3136.406779454,0,1,0.02853551599991988
69,5199,3136.478244151,3136.509430202,0,1,0.031186051000076986
70,5199,3136.578243436,3136.612416319,0,1,0.034172883000337606
71,5199,3136.678261665,3136.706444404,0,1,0.02818273900038548
72,5199,3136.778244054,3136.807032120,0,1,0.028788065999833634
73,5199,3136.878237642,3136.907755329,0,1,0.029517686999952275
74,5199,3136.978234911,3137.004638498,0,1,0.026403587000004336
75,5199,3137.078239508,3137.106447175,0,1,0.02820766700006061
76,5199,3137.178273034,3137.206971562,0,1,0.028698527999949874
77,5199,3137.278266591,3137.309881357,0,1,0.03161476600007518
78,5199,3137.378237843,3137.406502696,0,1,0.028264853000109724
79,5199,3137.478293609,3137.507533976,0,1,0.029240367000056722
80,5199,3137.578231933,3137.605566680,0,1,0.02733474699971339
81,5199,3137.678233521,3137.705782195,0,1,0.02754867400017247
82,5199,3137.778235366,3137.805703398,0,1,0.0274680319998879
83,5199,3137.878249916,3137.906053700,0,1,0.02780378399984329
84,5199,3137.978240048,3138.008197554,0,1,0.029957506000300782
85,5199,3138.078237541,3138.109089503,0,1,0.03085196200026985
86,5199,3138.178241530,3138.206013410,0,1,0.027771880000273086
87,5199,3138.278240303,3138.313192919,0,1,0.034952615999827685
88,5199,3138.378246628,3138.410543813,0,1,0.03229718500006129
89,5199,3138.478253657,3138.507229601,0,1,0.028975943999739684
90,5199,3138.578318864,3138.607977802,0,1,0.029658938000011403
91,5199,3138.678248899,3138.710100951,0,1,0.03185205199997654
92,5199,3138.778243480,3138.813603978,0,1,0.03536049800004548
93,5199,3138.878294318,3138.908359379,0,1,0.030065061000186688
94,5199,3138.978244353,3139.014629103,0,1,0.0363847500002521
95,5199,3139.078248566,3139.107209982,0,1,0.0289614159996745
96,5199,3139.178236139,3139.206276057,0,1,0.02803991800010408
97,5199,3139.278237568,3139.309732651,0,1,0.03149508300020898
98,5199,3139.378238709,3139.411126053,0,1,0.03288734399984605
99,5199,3139.478248234,3139.505861261,0,1,0.027613026999915746
100,5199,3139.578241663,3139.607264967,0,1,0.02902330400002029
101,5199,3139.678242003,3139.707070583,0,1,0.028828580000208603
102,5199,3139.778237064,3139.810666636,0,1,0.03242957199972807
103,5199,3139.878235677,3139.909911181,0,1,0.0316755040003045
104,5199,3139.978246098,3140.008607839,0,1,0.030361740999978792
105,5199,3140.078248231,3140.108468816,0,1,0.030220584999824496
106,5199,3140.178263100,3140.209934540,0,1,0.03167144000008193
