iter,PID,start,end,instance,activation,response_time
0,5190,3129.399358751,3129.424682149,0,1,0.02532339800018235
1,5190,3129.499439062,3129.523210291,0,1,0.0237712289999763
2,5190,3129.599418507,3129.622015272,0,1,0.02259676500034402
3,5190,3129.700113202,3129.724252120,0,1,0.024138918000062404
4,5190,3129.799444245,3129.820995606,0,1,0.021551361000092584
5,5190,3129.899410249,3129.913433025,0,1,0.014022775999819714
6,5190,3129.999442015,3130.022425830,0,1,0.02298381499986135
7,5190,3130.099423348,3130.122267095,0,1,0.02284374700002445
8,5190,3130.199493386,3130.222530963,0,1,0.02303757699974085
9,5190,3130.299420573,3130.321740051,0,1,0.022319477999644732
10,5190,3130.399424914,3130.422308343,0,1,0.022883429000103206
11,5190,3130.500153083,3130.524663787,0,1,0.024510704000022088
12,5190,3130.599432220,3130.622802382,0,1,0.02337016199999198
13,5190,3130.699470290,3130.722737185,0,1,0.023266894999778742
14,5190,3130.799781680,3130.821492725,0,1,0.021711045000301965
15,5190,3130.899429051,3130.922316928,0,1,0.0228878769999028
16,5190,3131.000083074,3131.023746555,0,1,0.02366348099985771
17,5190,3131.099424293,3131.121582038,0,1,0.02215774499973122
18,5190,3131.199447354,3131.218002155,0,1,0.01855480099993656
19,5190,3131.299448175,3131.320425505,0,1,0.02097732999982327
20,5190,3131.399807502,3131.422435276,0,1,0.022627774000284262
21,5190,3131.499451289,3131.520998010,0,1,0.02154672100004973
22,5190,3131.599429646,3131.621008655,0,1,0.021579009000106453
23,5190,3131.700128437,3131.725244918,0,1,0.025116481000168278
24,5190,3131.799443160,3131.821049050,0,1,0.021605890000046202
25,5190,3131.900469448,3131.924157026,0,1,0.023687578000135545
26,5190,3132.000109299,3132.023008504,0,1,0.022899204999703215
27,5190,3132.099507512,3132.121092826,0,1,0.021585314000276412
28,5190,3132.199453932,3132.213261725,0,1,0.013807793000069069
29,5190,3132.299423008,3132.320854974,0,1,0.0214319660003639
30,5190,3132.399426005,3132.422434749,0,1,0.023008743999980652
31,5190,3132.499446026,3132.520966186,0,1,0.021520159999909083
32,5190,3132.599431167,3132.621659858,0,1,0.022228690999781975
33,5190,3132.699455220,3132.721430497,0,1,0.02197527699991042
34,5190,3132.799425993,3132.820914600,0,1,0.021488606999810145
35,5190,3132.899430942,3132.913190638,0,1,0.013759695999851829
36,5190,3132.999434707,3133.020752333,0,1,0.02131762599992726
37,5190,3133.099447688,3133.121057930,0,1,0.02161024199995154
38,5190,3133.199463741,3133.220702102,0,1,0.021238361000087025
39,5190,3133.300101123,3133.322179794,0,1,0.022078671000144823
40,5190,3133.400129753,3133.411988662,0,1,0.011858909000238782
41,5190,3133.499454012,3133.521827283,0,1,0.022373271000105888
42,5190,3133.599461105,3133.619276291,0,1,0.019815185999959795
43,5190,3133.699446917,3133.721242637,0,1,0.021795720000227448
44,5190,3133.799448570,3133.820655954,0,1,0.02120738399980837
45,5190,3133.899459663,3133.908237146,0,1,0.008777482999903441
46,5190,3133.999431204,3134.021569236,0,1,0.022138031999929808
47,5190,3134.099437977,3134.117269206,0,1,0.017831228999966697
48,5190,3134.199449678,3134.220787177,0,1,0.021337499000310345
49,5190,3134.299460515,3134.320523447,0,1,0.021062931999949797
50,5190,3134.399432919,3134.408634350,0,1,0.009201430999837612
51,5190,3134.499531791,3134.531306977,0,1,0.03177518599977702
52,5190,3134.600452508,3134.624871370,0,1,0.024418861999947694
53,5190,3134.699445590,3134.724527318,0,1,0.025081728000259318
54,5190,3134.799676049,3134.822833725,0,1,0.023157675999755156
55,5190,3134.899447360,3134.921574289,0,1,0.022126929000023665
56,5190,3134.999444149,3135.022039986,0,1,0.02259583700015355
57,5190,3135.099430250,3135.121001259,0,1,0.02157100900012665
58,5190,3135.199429214,3135.212183636,0,1,0.012754422000398336
59,5190,3135.299442804,3135.322248854,0,1,0.022806049999871902
60,5190,3135.399899957,3135.420712034,0,1,0.020812077000300633
61,5190,3135.499448446,3135.520659957,0,1,0.021211511000274186
62,5190,3135.599462323,3135.621292443,0,1,0.021830120000231545
63,5190,3135.699432167,3135.721545271,0,1,0.02211310400025468
64,5190,3135.799450460,3135.822857871,0,1,0.023407410999880085
65,5190,3135.899419921,3135.922272724,0,1,0.022852802999750566
66,5190,3135.999455814,3136.025166135,0,1,0.025710320999678515
67,5190,3136.099432731,3136.123890057,0,1,0.024457326000174362
68,5190,3136.199446192,3136.218075907,0,1,0.018629715000315628
69,5190,3136.299442949,3136.324740490,0,1,0.02529754099987258
70,5190,3136.399475739,3136.427998038,0,1,0.028522299000087514
71,5190,3136.499590482,3136.512523053,0,1,0.012932571000419557
72,5190,3136.599479364,3136.627021030,0,1,0.02754166599970631
73,5190,3136.699440440,3136.723459611,0,1,0.024019170999963535
74,5190,3136.799452685,3136.825524455,0,1,0.0260717700002715
75,5190,3136.899476963,3136.922231012,0,1,0.022754049000013765
76,5190,3136.999490776,3137.022811593,0,1,0.023320816999785166
77,5190,3137.099864087,3137.121113104,0,1,0.0212490170001729
78,5190,3137.199435233,3137.223130779,0,1,0.023695545999999013
