iter,PID,start,end,instance,activation,response_time
0,5117,3108.146378642,3108.146411443,52,0,3.28010000885115e-05
1,5117,3108.246419784,3108.246509578,53,0,8.97939999049413e-05
2,5117,3108.346423421,3108.349239657,54,0,0.0028162359999441833
3,5117,3108.446441651,3108.446500532,55,0,5.8880999858956784e-05
4,5117,3108.546464840,3108.546540650,56,0,7.580999999845517e-05
5,5117,3108.646433373,3108.646541280,57,0,0.00010790699980134377
6,5117,3108.746421073,3108.801581782,58,1,0.05516070900011982
7,5117,3108.846418758,3108.885017424,59,1,0.038598666000325466
8,5117,3108.946463773,3108.982122359,60,1,0.03565858600040883
9,5117,3109.046420433,3109.081116401,61,1,0.034695968000050925
10,5117,3109.146421158,3109.177866607,62,1,0.031445448999875225
11,5117,3109.246415995,3109.276861418,63,1,0.03044542299994646
12,5117,3109.346445520,3109.385665610,64,1,0.03922009000007165
13,5117,3109.446439525,3109.478188183,65,1,0.031748657999742136
14,5117,3109.546443546,3109.579899482,66,1,0.033455936000336806
15,5117,3109.646441423,3109.671735509,67,1,0.025294086000030802
16,5117,3109.746449317,3109.773720895,68,1,0.027271578000181762
17,5117,3109.846417657,3109.872253068,69,1,0.025835411000116437
18,5117,3109.946430478,3109.972454791,70,1,0.026024313000107213
19,5117,3110.046424387,3110.072662178,71,1,0.02623779099985768
20,5117,3110.146428216,3110.171552985,72,1,0.02512476899983085
21,5117,3110.246539312,3110.273712104,73,1,0.02717279199987388
22,5117,3110.346423842,3110.373451926,74,1,0.027028083999994124
23,5117,3110.446414999,3110.472920317,75,1,0.026505318000090483
24,5117,3110.546423052,3110.571829460,76,1,0.02540640799998073
25,5117,3110.646428610,3110.673191694,77,1,0.026763083999867376
26,5117,3110.746421942,3110.775439295,78,1,0.029017353000199364
27,5117,3110.846433420,3110.872314913,79,1,0.025881493000269984
28,5117,3110.946436097,3110.973484021,80,1,0.027047923999816703
29,5117,3111.046431350,3111.072893178,81,1,0.02646182799981034
30,5117,3111.146417258,3111.175186829,82,1,0.02876957099988431
31,5117,3111.246588132,3111.274088452,83,1,0.027500319999944622
32,5117,3111.346420405,3111.373948662,84,1,0.027528257000085432
33,5117,3111.446447242,3111.472924687,85,1,0.026477445000182342
34,5117,3111.546416735,3111.573316783,86,1,0.026900047999788512
35,5117,3111.646444756,3111.673017820,87,1,0.026573063999876467
