iter,PID,start,end,instance,activation,response_time
0,5267,3135.751351477,3135.752226028,0,1,0.0008745510003791424
1,5267,3135.791429734,3135.792772554,0,1,0.001342819999990752
2,5267,3135.831460949,3135.831917762,0,1,0.00045681300025535165
3,5267,3135.871430083,3135.871884143,0,1,0.0004540599998108519
4,5267,3135.911432626,3135.911732986,0,1,0.0003003599999829021
5,5267,3135.951431425,3135.951901101,0,1,0.0004696760001934308
6,5267,3135.991451216,3135.991902076,0,1,0.00045086000000083004
7,5267,3136.031456607,3136.031821897,0,1,0.0003652899999906367
8,5267,3136.071433773,3136.071899578,0,1,0.00046580499974879785
9,5267,3136.111432860,3136.111755653,0,1,0.00032279299966830877
10,5267,3136.151428427,3136.152453670,0,1,0.0010252429997308354
11,5267,3136.191431097,3136.191787907,0,1,0.00035681000008480623
12,5267,3136.231567628,3136.232154075,0,1,0.0005864469999323774
13,5267,3136.271434039,3136.272279214,0,1,0.0008451749999949243
14,5267,3136.311424773,3136.311792271,0,1,0.00036749799983226694
15,5267,3136.351422708,3136.351945538,0,1,0.0005228300001363095
16,5267,3136.391464068,3136.391802349,0,1,0.00033828100004029693
17,5267,3136.431423826,3136.431719706,0,1,0.00029588000006697257
18,5267,3136.471425921,3136.471808843,0,1,0.00038292199997158605
19,5267,3136.511414639,3136.511736088,0,1,0.0003214489997844794
20,5267,3136.551493792,3136.551760455,0,1,0.0002666629998202552
21,5267,3136.591435053,3136.615205865,0,1,0.02377081199983877
22,5267,3136.631456508,3136.631548127,0,1,9.161899970422382e-05
23,5267,3136.671437675,3136.671576622,0,1,0.00013894699986849446
24,5267,3136.711672352,3136.711826052,0,1,0.00015370000028269715
25,5267,3136.751427272,3136.751570476,0,1,0.00014320399986900156
26,5267,3136.791450711,3136.791559674,0,1,0.00010896300000240444
27,5267,3136.831423525,3136.831507720,0,1,8.419499999945401e-05
28,5267,3136.871453685,3136.871581272,0,1,0.00012758700040649273
29,5267,3136.911442723,3136.911518949,0,1,7.622599969181465e-05
30,5267,3136.951436530,3136.951546229,0,1,0.00010969899994961452
31,5267,3136.991426656,3136.991547172,0,1,0.00012051600015183794
32,5267,3137.031425679,3137.031533074,0,1,0.0001073949997589807
33,5267,3137.071444350,3137.071574498,0,1,0.00013014799969823798
34,5267,3137.111533136,3137.111610930,0,1,7.779399993523839e-05
35,5267,3137.151425659,3137.151549375,0,1,0.00012371599996185978
36,5267,3137.191435594,3137.191561678,0,1,0.00012608400038516265
37,5267,3137.231423065,3137.231512827,0,1,8.976200024335412e-05
38,5267,3137.271457065,3137.271591084,0,1,0.00013401900014287094
39,5267,3137.311484760,3137.311630076,0,1,0.00014531599981637555
40,5267,3137.351443654,3137.351553673,0,1,0.00011001900020346511
41,5267,3137.391428020,3137.391541943,0,1,0.0001139229998443625
42,5267,3137.431427523,3137.431533158,0,1,0.00010563500018179184
43,5267,3137.471444146,3137.471582134,0,1,0.00013798800000586198
44,5267,3137.511407584,3137.511520195,0,1,0.00011261099962212029
45,5267,3137.551420399,3137.551542066,0,1,0.0001216669998029829
46,5267,3137.591452350,3137.591583586,0,1,0.00013123600001563318
47,5267,3137.631460397,3137.631609649,0,1,0.00014925200002835481
48,5267,3137.671428443,3137.671552511,0,1,0.00012406799987729755
49,5267,3137.711429322,3137.711503596,0,1,7.427399987136596e-05
50,5267,3137.751421657,3137.751551964,0,1,0.00013030700029048603
51,5267,3137.791441576,3137.791559595,0,1,0.0001180189997285197
52,5267,3137.831443543,3137.831544249,0,1,0.00010070600001199637
53,5267,3137.871438661,3137.871588745,0,1,0.00015008399986982113
54,5267,3137.911434964,3137.911519734,0,1,8.477000028506154e-05
55,5267,3137.951420354,3137.951527653,0,1,0.00010729899986472446
56,5267,3137.991777723,3137.991883646,0,1,0.0001059230003193079
57,5267,3138.031458753,3138.031550819,0,1,9.206599997924059e-05
58,5267,3138.071436271,3138.071572787,0,1,0.00013651600011144183
