iter,PID,start,end,instance,activation,response_time
0,5279,3136.214349919,3136.216513081,0,0,0.002163161999760632
1,5279,3136.254446128,3136.254724984,0,0,0.00027885600002264255
2,5279,3136.294429599,3136.294437439,0,0,7.839999852876645e-06
3,5279,3136.334435117,3136.335341862,0,0,0.0009067450000657118
4,5279,3136.374420604,3136.374471837,0,0,5.1232999794592615e-05
5,5279,3136.414431211,3136.415477607,0,0,0.0010463959997650818
6,5279,3136.454434426,3136.454492731,0,0,5.8305000038672006e-05
7,5279,3136.494451977,3136.494462537,0,0,1.055999973686994e-05
8,5279,3136.534439703,3136.535525812,0,0,0.0010861089999707474
9,5279,3136.574427142,3136.574477191,0,0,5.004900003768853e-05
10,5279,3136.614463990,3136.615157352,0,0,0.0006933620002200769
11,5279,3136.654424355,3136.654476869,0,0,5.251399988992489e-05
12,5279,3136.694472307,3136.697978193,0,0,0.003505885999857128
13,5279,3136.734648711,3136.739380773,0,1,0.0047320620001300995
14,5279,3136.774433744,3136.774959198,0,1,0.0005254540001260466
15,5279,3136.814445535,3136.817351757,0,1,0.0029062220000923844
16,5279,3136.854420621,3136.854490255,0,0,6.96340002832585e-05
17,5279,3136.894453853,3136.894462013,0,0,8.160000106727239e-06
18,5279,3136.934592495,3136.937425819,0,1,0.0028333240002211824
19,5279,3136.974424921,3136.974495387,0,0,7.046600012472481e-05
20,5279,3137.014424584,3137.018754972,0,1,0.004330387999743834
21,5279,3137.054430359,3137.055040391,0,1,0.0006100320001678483
22,5279,3137.094450246,3137.094614507,0,0,0.0001642610000089917
23,5279,3137.134528183,3137.137335394,0,1,0.0028072109998902306
24,5279,3137.174436899,3137.174482053,0,0,4.5153999963076785e-05
25,5279,3137.214428786,3137.217314975,0,1,0.0028861890000371204
26,5279,3137.254560548,3137.254639334,0,0,7.878599990363e-05
27,5279,3137.295581550,3137.296602314,0,1,0.0010207640002590779
28,5279,3137.334497696,3137.338752818,0,1,0.004255121999904077
29,5279,3137.374528176,3137.374706740,0,0,0.00017856400017990381
30,5279,3137.414421500,3137.417150309,0,1,0.002728809000018373
31,5279,3137.454452395,3137.454504268,0,0,5.1873000302293804e-05
32,5279,3137.494452026,3137.494462010,0,0,9.983999916585162e-06
33,5279,3137.534456297,3137.539859961,0,1,0.005403663999913988
34,5279,3137.574429943,3137.574494073,0,0,6.413000028260285e-05
35,5279,3137.614421797,3137.617179375,0,1,0.002757578000000649
36,5279,3137.654433620,3137.654629594,0,0,0.00019597400023485534
37,5279,3137.694838510,3137.694844398,0,0,5.8880000324279536e-06
38,5279,3137.735221991,3137.738576065,0,1,0.003354074000071705
39,5279,3137.774445281,3137.775085650,0,1,0.0006403689999388007
40,5279,3137.814441360,3137.817236602,0,1,0.0027952420000474376
41,5279,3137.854429566,3137.854476639,0,0,4.70730001325137e-05
42,5279,3137.894434637,3137.894440749,0,0,6.111999937274959e-06
43,5279,3137.934535166,3137.937750612,0,1,0.0032154460000128893
44,5279,3137.974435242,3137.974483628,0,0,4.83860003441805e-05
45,5279,3138.014429433,3138.017777395,0,1,0.00334796200013443
46,5279,3138.054439624,3138.055095290,0,1,0.0006556659996022063
47,5279,3138.094445879,3138.094453367,0,0,7.487999937438872e-06
48,5279,3138.134587306,3138.138026278,0,1,0.00343897199991261
49,5279,3138.174420180,3138.174463413,0,0,4.3232999814790674e-05
50,5279,3138.214428899,3138.217275407,0,1,0.0028465080004025367
51,5279,3138.254431090,3138.254489619,0,0,5.852900039826636e-05
52,5279,3138.294507618,3138.295093074,0,1,0.0005854559999534104
53,5279,3138.334619124,3138.337633093,0,1,0.0030139690002215502
