iter,PID,start,end,instance,activation,response_time
0,5288,3136.041698353,3136.068175126,0,0,0.026476773000013054
1,5288,3136.068330522,3136.085091675,0,0,0.016761153000061313
2,5288,3136.085144220,3136.105485757,0,0,0.0203415370001494
3,5288,3136.105528862,3136.124868804,0,0,0.019339941999987786
4,5288,3136.125076489,3136.151413290,0,0,0.02633680100007041
5,5288,3136.151472204,3136.171858029,0,0,0.02038582499972108
6,5288,3136.171900335,3136.195284577,0,0,0.023384242000247468
7,5288,3136.195355330,3136.217701497,0,0,0.02234616699979597
8,5288,3136.217748154,3136.236673748,0,0,0.018925593999938428
9,5288,3136.236729142,3136.255457771,0,0,0.018728628999724606
10,5288,3136.255501388,3136.270306105,0,0,0.014804717000060919
11,5288,3136.270378843,3136.286189250,0,0,0.015810407000117266
12,5288,3136.286302053,3136.297140135,0,0,0.010838082000191207
13,5288,3136.297178312,3136.320727967,0,0,0.02354965499989703
14,5288,3136.320818497,3136.331360507,0,0,0.010542010000335722
15,5288,3136.331418429,3136.345275088,0,0,0.01385665899988453
16,5288,3136.345327025,3136.360460710,0,0,0.015133684999909747
17,5288,3136.360506311,3136.371313481,0,0,0.010807170000134647
18,5288,3136.371371722,3136.386230296,0,0,0.014858574000299996
19,5288,3136.387287188,3136.398367261,0,0,0.011080073000357515
20,5288,3136.398420542,3136.411154483,0,0,0.012733940999623883
21,5288,3136.411204020,3136.429061042,0,0,0.0178570220000438
22,5288,3136.429129268,3136.450679125,0,0,0.02154985700008183
23,5288,3136.450736727,3136.462000964,0,0,0.011264236999977584
24,5288,3136.462055718,3136.476704174,0,0,0.014648456000031729
25,5288,3136.476746831,3136.489531269,0,0,0.012784437999926013
26,5288,3136.489569798,3136.509579614,0,0,0.020009815999856073
27,5288,3136.509624287,3136.521480444,0,0,0.011856157000238454
28,5288,3136.521540990,3136.534385526,0,0,0.012844535999647633
29,5288,3136.534445880,3136.548146086,0,0,0.013700206000066828
30,5288,3136.548184679,3136.557887851,0,0,0.009703172000172344
31,5288,3136.557933708,3136.565249424,0,0,0.007315715999993699
32,5288,3136.565297553,3136.573605360,0,0,0.00830780699971001
33,5288,3136.573659729,3136.582661506,0,0,0.009001776999866706
34,5288,3136.582710212,3136.599900592,0,0,0.01719037999964712
35,5288,3136.599968785,3136.609257034,0,1,0.009288249000292126
36,5288,3136.610032287,3136.616328455,0,1,0.00629616799960786
37,5288,3136.620037739,3136.627171050,0,1,0.007133310999961395
38,5288,3136.630038966,3136.638297716,0,1,0.00825875000009546
39,5288,3136.640684275,3136.646955355,0,1,0.006271080000260554
40,5288,3136.650052046,3136.657671610,0,1,0.007619563999924139
41,5288,3136.660035961,3136.665803508,0,1,0.005767546999777551
42,5288,3136.670069126,3136.674765188,0,1,0.004696062000220991
43,5288,3136.680225494,3136.687091566,0,1,0.006866072000320855
44,5288,3136.690053341,3136.697492164,0,1,0.007438823000029515
45,5288,3136.700037416,3136.704618051,0,1,0.004580634999911126
46,5288,3136.710050548,3136.715819823,0,1,0.0057692750001479
47,5288,3136.720042112,3136.724974564,0,1,0.004932452000048215
48,5288,3136.730036139,3136.734701224,0,1,0.0046650850003970845
49,5288,3136.740051319,3136.750914522,0,1,0.01086320300009902
50,5288,3136.750977596,3136.757429545,0,1,0.006451948999711021
51,5288,3136.760052847,3136.765667269,0,1,0.005614421999780461
52,5288,3136.770214975,3136.777605125,0,1,0.007390149999991991
53,5288,3136.780054182,3136.790308601,0,1,0.010254418999920745
54,5288,3136.790361178,3136.798467571,0,1,0.008106393000161916
55,5288,3136.800044093,3136.810090314,0,1,0.01004622099981134
56,5288,3136.810145708,3136.818551469,0,1,0.008405760999721679
57,5288,3136.820046741,3136.834916291,0,1,0.014869549999730225
58,5288,3136.834962532,3136.841984960,0,1,0.007022427999800129
59,5288,3136.842047682,3136.850449027,0,1,0.008401345000038418
60,5288,3136.850503876,3136.859594935,0,1,0.009091059000184032
61,5288,3136.860041251,3136.870066096,0,1,0.01002484499986167
62,5288,3136.870130353,3136.878311916,0,1,0.00818156299965267
63,5288,3136.882202965,3136.888291928,0,1,0.006088962999911018
64,5288,3136.890055399,3136.895436311,0,1,0.005380911999964155
65,5288,3136.900093908,3136.911669737,0,1,0.011575828999866644
66,5288,3136.911710506,3136.916712080,0,1,0.005001573999834363
67,5288,3136.920046602,3136.927520722,0,1,0.007474119999642426
68,5288,3136.930047573,3136.935233344,0,1,0.005185771000014938
69,5288,3136.940040513,3136.950095374,0,1,0.010054860999844095
70,5288,3136.950153840,3136.955530720,0,1,0.00537687999985792
71,5288,3136.960133851,3136.964907387,0,1,0.0047735359999023785
72,5288,3136.970038948,3136.975915777,0,1,0.005876829000044381
73,5288,3136.980387097,3136.986450459,0,1,0.006063362000077177
74,5288,3136.990053980,3136.995393323,0,1,0.005339342999832297
75,5288,3137.000052935,3137.005373462,0,1,0.005320527000094444
76,5288,3137.010037619,3137.015165948,0,1,0.005128328999944642
77,5288,3137.020110272,3137.032746963,0,1,0.012636691000352585
78,5288,3137.032805716,3137.038439147,0,1,0.005633431000205746
79,5288,3137.040084279,3137.045456391,0,1,0.005372111999804474
80,5288,3137.050043778,3137.056301289,0,1,0.0062575110000580025
81,5288,3137.060039341,3137.069907669,0,1,0.0098683279998113
82,5288,3137.069973399,3137.075442089,0,1,0.005468689999815979
83,5288,3137.080050821,3137.086271051,0,1,0.0062202300000535615
84,5288,3137.090042480,3137.095852140,0,1,0.005809659999613359
85,5288,3137.100064637,3137.106647949,0,1,0.006583312000202568
86,5288,3137.110043400,3137.116110826,0,1,0.006067425999845
87,5288,3137.120118389,3137.126604003,0,1,0.006485614000212081
88,5288,3137.130060063,3137.139157875,0,1,0.009097811999708938
89,5288,3137.140042411,3137.148183333,0,1,0.008140921999711281
90,5288,3137.150040950,3137.155199456,0,1,0.005158506000043417
91,5288,3137.160050626,3137.165148587,0,1,0.00509796100004678
92,5288,3137.170042510,3137.174972594,0,1,0.00493008400007966
93,5288,3137.180102907,3137.185812596,0,1,0.005709688999559148
94,5288,3137.190041093,3137.196401615,0,1,0.00636052199979531
95,5288,3137.200168500,3137.206789381,0,1,0.006620880999889778
96,5288,3137.210069149,3137.214796732,0,1,0.0047275830002035946
97,5288,3137.220057353,3137.229344705,0,1,0.009287352000228566
98,5288,3137.230057140,3137.235748493,0,1,0.005691352999747323
99,5288,3137.240038367,3137.245751192,0,1,0.005712825000045996
100,5288,3137.250040043,3137.255212342,0,1,0.005172299000150815
