iter,PID,start,end,instance,activation,response_time
0,5270,3135.733405460,3135.740514547,0,0,0.0071090870001171425
1,5270,3135.743478690,3135.750022993,0,0,0.006544303000282525
2,5270,3135.753478254,3135.757082414,0,0,0.0036041599996678997
3,5270,3135.763470233,3135.767263775,0,0,0.0037935420000394515
4,5270,3135.773489029,3135.776991011,0,0,0.0035019820002162305
5,5270,3135.783552883,3135.788164238,0,0,0.004611354999724426
6,5270,3135.793484285,3135.801520916,0,0,0.008036630999868066
7,5270,3135.804086649,3135.813207789,0,0,0.009121139999933803
8,5270,3135.813470292,3135.820663316,0,0,0.007193023999661818
9,5270,3135.823486720,3135.831090187,0,0,0.007603467000080855
10,5270,3135.833485900,3135.839829045,0,0,0.006343144999846118
11,5270,3135.843486743,3135.850650679,0,0,0.007163935999869864
12,5270,3135.853488067,3135.860077939,0,0,0.006589871999949537
13,5270,3135.863485455,3135.872223961,0,0,0.008738506000099733
14,5270,3135.876698320,3135.891029808,0,0,0.014331488000152603
15,5270,3135.891095922,3135.906798390,0,0,0.01570246799974484
16,5270,3135.906887032,3135.917754139,0,0,0.010867106999739917
17,5270,3135.917815037,3135.929000552,0,0,0.011185515000306623
18,5270,3135.929056746,3135.942853723,0,0,0.013796977000311017
19,5270,3135.942922237,3135.953643452,0,0,0.010721215000103257
20,5270,3135.953691933,3135.965266675,0,0,0.011574741999993421
21,5270,3135.965328597,3135.977438937,0,0,0.012110340000162978
22,5270,3135.977487066,3135.992912695,0,0,0.015425629000219487
23,5270,3135.992967321,3136.015880702,0,0,0.02291338099985296
24,5270,3136.015983361,3136.023963606,0,0,0.007980244999998831
25,5270,3136.026058126,3136.037824809,0,0,0.011766683000132616
26,5270,3136.037865739,3136.056315224,0,0,0.018449485000019195
27,5270,3136.056363162,3136.070919967,0,0,0.01455680500021117
28,5270,3136.070990849,3136.082244527,0,0,0.011253678000230138
29,5270,3136.082301840,3136.091687243,0,0,0.009385402999669168
30,5270,3136.091752269,3136.105455356,0,0,0.013703087000067171
31,5270,3136.105525022,3136.120867224,0,0,0.01534220199982883
32,5270,3136.120930170,3136.130507130,0,0,0.00957695999977659
33,5270,3136.131009864,3136.142493019,0,0,0.011483154999950784
34,5270,3136.142548925,3136.154471612,0,0,0.0119226870001512
35,5270,3136.154508157,3136.163001504,0,0,0.008493347000239737
36,5270,3136.163070242,3136.171117114,0,0,0.008046872000250005
37,5270,3136.171173659,3136.180454900,0,0,0.009281240999825968
38,5270,3136.181502960,3136.191895014,0,0,0.010392053999566997
39,5270,3136.191932871,3136.204548985,0,0,0.012616114000138623
40,5270,3136.204597754,3136.218332489,0,0,0.013734735000070941
41,5270,3136.218362986,3136.224306473,0,0,0.0059434869999677176
42,5270,3136.224359883,3136.241603416,0,0,0.017243533000055322
43,5270,3136.241651962,3136.252988617,0,0,0.011336654999922757
44,5270,3136.253063467,3136.261281095,0,0,0.008217627999783872
45,5270,3136.261731507,3136.270074195,0,0,0.008342687999629561
46,5270,3136.271726431,3136.278466131,0,0,0.006739700000252924
47,5270,3136.284204717,3136.290306512,0,0,0.006101794999722188
48,5270,3136.291727862,3136.296503190,0,0,0.004775328000050649
49,5270,3136.301738882,3136.313497405,0,0,0.011758523000025889
50,5270,3136.313554238,3136.318925038,0,0,0.005370800000036979
51,5270,3136.321735353,3136.328544848,0,0,0.006809495000197785
52,5270,3136.331728261,3136.338128720,0,0,0.0064004589999058226
53,5270,3136.341742097,3136.347600398,0,0,0.0058583009999892965
54,5270,3136.351731932,3136.357136205,0,0,0.005404273000294779
55,5270,3136.361742600,3136.367209659,0,0,0.005467058999784058
56,5270,3136.371734484,3136.379838637,0,0,0.008104152999749203
57,5270,3136.381741984,3136.387476249,0,0,0.005734264999773586
58,5270,3136.391744236,3136.399081392,0,0,0.007337156000176037
59,5270,3136.401724951,3136.408651216,0,0,0.006926265000402054
60,5270,3136.411748099,3136.422962959,0,0,0.011214860000109184
61,5270,3136.423020561,3136.432267656,0,0,0.009247094999864203
62,5270,3136.432308521,3136.435891497,0,0,0.0035829759999614907
63,5270,3136.441767111,3136.448612734,0,0,0.0068456230001174845
64,5270,3136.451832276,3136.458829775,0,0,0.006997499000135576
65,5270,3136.461737597,3136.467977572,0,0,0.0062399749999713094
66,5270,3136.471749417,3136.475335177,0,0,0.003585760000078153
67,5270,3136.481737621,3136.489476100,0,0,0.007738479000181542
68,5270,3136.491738976,3136.499537457,0,0,0.0077984810000089055
69,5270,3136.501762061,3136.510668667,0,0,0.008906605999982276
70,5270,3136.511731383,3136.517448017,0,0,0.0057166339997820614
71,5270,3136.521724163,3136.528736703,0,0,0.007012540000232548
72,5270,3136.531776592,3136.539477790,0,0,0.007701198000177101
73,5270,3136.541739099,3136.547575479,0,0,0.005836379999891506
74,5270,3136.551890122,3136.555700464,0,0,0.0038103420001789345
75,5270,3136.561724178,3136.567536877,0,0,0.005812698999761778
76,5270,3136.571737150,3136.577666204,0,0,0.0059290539998073655
77,5270,3136.581810411,3136.591261672,0,0,0.00945126100032212
78,5270,3136.591730965,3136.598046110,0,0,0.006315144999916811
79,5270,3136.601741985,3136.608594072,0,0,0.006852086999970197
80,5270,3136.611812463,3136.614496694,0,1,0.002684230999875581
81,5270,3136.621767673,3136.623043739,0,1,0.0012760660001731594
82,5270,3136.631733860,3136.632919460,0,1,0.0011855999996441824
83,5270,3136.641776209,3136.643018450,0,1,0.0012422409999999218
84,5270,3136.651730011,3136.652756215,0,1,0.0010262040000270645
85,5270,3136.661747719,3136.662695809,0,1,0.0009480900002927228
86,5270,3136.671735763,3136.673002741,0,1,0.0012669779998759623
87,5270,3136.681732030,3136.683798038,0,1,0.0020660079999288428
88,5270,3136.691758379,3136.693391670,0,1,0.0016332909999619005
89,5270,3136.701731382,3136.702730480,0,1,0.0009990979997382965
90,5270,3136.711944295,3136.712922529,0,1,0.0009782339998309908
91,5270,3136.721916114,3136.722845739,0,1,0.0009296250000261352
92,5270,3136.731728921,3136.732704531,0,1,0.0009756099998412537
93,5270,3136.741729092,3136.742672990,0,1,0.000943898000059562
94,5270,3136.751748816,3136.752866062,0,1,0.001117245999921579
95,5270,3136.761739292,3136.762736375,0,1,0.0009970829996746033
96,5270,3136.771747208,3136.773096460,0,1,0.0013492520001818775
97,5270,3136.781768020,3136.783004373,0,1,0.0012363529999674938
98,5270,3136.791731743,3136.792699609,0,1,0.0009678659998826333
99,5270,3136.802146646,3136.803021357,0,1,0.0008747110000513203
100,5270,3136.811770103,3136.812795251,0,1,0.0010251479998260038
101,5270,3136.821734594,3136.822527735,0,1,0.0007931410000310279
102,5270,3136.832137432,3136.833033872,0,1,0.0008964400003605988
103,5270,3136.841727449,3136.842624113,0,1,0.0008966640002654458
104,5270,3136.851738341,3136.852802146,0,1,0.001063805000285356
105,5270,3136.861784114,3136.862661706,0,1,0.0008775920000516635
106,5270,3136.871886304,3136.872856634,0,1,0.0009703300002001924
107,5270,3136.882026448,3136.882849542,0,1,0.000823093999770208
108,5270,3136.892109502,3136.893335871,0,1,0.0012263690000509087
109,5270,3136.901935333,3136.904294276,0,1,0.0023589430002175504
110,5270,3136.911727819,3136.912721926,0,1,0.0009941069997694285
111,5270,3136.921767512,3136.923885520,0,1,0.0021180080002523027
112,5270,3136.931729954,3136.932942435,0,1,0.0012124810000386788
113,5270,3136.941749359,3136.942786026,0,1,0.0010366669998802536
