iter,PID,start,end,instance,activation,response_time
0,5119,3108.937488844,3108.937578287,59,1,8.944299997892813e-05
1,5119,3109.037482945,3109.037550115,60,1,6.716999996569939e-05
2,5119,3109.137475350,3109.137543064,61,1,6.771400012439699e-05
3,5119,3109.237470859,3109.237538061,62,1,6.720200008203392e-05
4,5119,3109.337481472,3109.337550594,63,1,6.912199978614808e-05
5,5119,3109.437486902,3109.437587000,64,1,0.00010009800007537706
6,5119,3109.537476138,3109.537546412,65,1,7.027400033621234e-05
7,5119,3109.637479231,3109.637574274,66,1,9.504300032858737e-05
8,5119,3109.737484597,3109.737569719,67,1,8.512200020049931e-05
9,5119,3109.837478442,3109.837546347,68,1,6.790500037823222e-05
10,5119,3109.937478559,3109.937569601,69,1,9.10420003492618e-05
11,5119,3110.037469459,3110.037557590,70,1,8.813099975668592e-05
12,5119,3110.137474665,3110.137544490,71,1,6.982500008234638e-05
13,5119,3110.237474558,3110.237544704,72,1,7.014599987087422e-05
14,5119,3110.337469107,3110.337538388,73,1,6.928100037839613e-05
15,5119,3110.437474952,3110.437543402,74,1,6.845000007160706e-05
16,5119,3110.537475741,3110.537563903,75,1,8.816199988359585e-05
17,5119,3110.637470450,3110.637562932,76,1,9.248200012734742e-05
18,5119,3110.737470183,3110.737560809,77,1,9.062600020115497e-05
19,5119,3110.837469084,3110.837557246,78,1,8.816199988359585e-05
20,5119,3110.937471953,3110.937561331,79,1,8.937799975683447e-05
21,5119,3111.037474886,3111.037552008,80,1,7.712200022069737e-05
22,5119,3111.137471515,3111.137565213,81,1,9.369800000058603e-05
23,5119,3111.237468176,3111.237564370,82,1,9.619399997973233e-05
24,5119,3111.337476165,3111.337570824,83,1,9.465899984206771e-05
25,5119,3111.437488250,3111.437565373,84,1,7.712299975537462e-05
26,5119,3111.537515312,3111.537616243,85,1,0.00010093099990626797
27,5119,3111.637481124,3111.637551910,86,1,7.078600037857541e-05
28,5119,3111.737478617,3111.737549467,87,1,7.085000015649712e-05
29,5119,3111.837471342,3111.837537264,88,1,6.592199997612624e-05
30,5119,3111.937488676,3111.937598631,89,1,0.00010995499997079605
31,5119,3112.037500825,3112.037601692,90,1,0.00010086700012834626
32,5119,3112.137481486,3112.137553551,91,1,7.206500004031113e-05
33,5119,3112.237511843,3112.237638311,92,1,0.0001264679999621876
34,5119,3112.337490456,3112.337563098,93,1,7.264199985002051e-05
35,5119,3112.437496973,3112.437571215,94,1,7.424199975503143e-05
36,5119,3112.537485122,3112.537555652,95,1,7.052999990264652e-05
37,5119,3112.637496567,3112.637607866,96,1,0.00011129899985462544
38,5119,3112.737484556,3112.737576206,97,1,9.16500002858811e-05
39,5119,3112.837484321,3112.837581091,98,1,9.677000025476445e-05
40,5119,3112.937508791,3112.937607961,99,1,9.917000033965451e-05
41,5119,3113.037484299,3113.037552589,100,1,6.828999994468177e-05
42,5119,3113.137634468,3113.137708710,101,1,7.424199975503143e-05
43,5119,3113.237486005,3113.237554871,102,1,6.88660002197139e-05
44,5119,3113.337472458,3113.337554252,103,1,8.179399992513936e-05
45,5119,3113.437488191,3113.437559329,104,1,7.113800029401318e-05
46,5119,3113.537471892,3113.537570518,105,1,9.862599972620956e-05
47,5119,3113.637479273,3113.637591308,106,1,0.00011203500025658286
48,5119,3113.737468670,3113.737532959,107,1,6.42889999653562e-05
49,5119,3113.837501108,3113.837599222,108,1,9.811399968384649e-05
50,5119,3113.937491240,3113.937593867,109,1,0.00010262700016028248
51,5119,3114.037482717,3114.037576704,110,1,9.39870001275267e-05
52,5119,3114.137502899,3114.137575605,111,1,7.270600008268957e-05
53,5119,3114.237512040,3114.237678988,112,1,0.00016694799978722585
54,5119,3114.337493949,3114.337571295,113,1,7.734600012554438e-05
55,5119,3114.437493906,3114.437572500,114,1,7.859400011511752e-05
56,5119,3114.537485638,3114.537558248,115,1,7.261000018843333e-05
57,5119,3114.637489147,3114.637675296,116,1,0.00018614900000102352
58,5119,3114.737482704,3114.737554482,117,1,7.177800034696702e-05
59,5119,3114.837481861,3114.837556871,118,1,7.500999981857603e-05
60,5119,3114.937483322,3114.937557628,119,1,7.430599998770049e-05
61,5119,3115.037484879,3115.037551537,120,1,6.665799992333632e-05
62,5119,3115.137488325,3115.137582887,121,1,9.456199995838688e-05
63,5119,3115.237483225,3115.237555963,122,1,7.27380001990241e-05
64,5119,3115.337477038,3115.337547856,123,1,7.081800004016259e-05
65,5119,3115.437496484,3115.437562310,124,1,6.582600008187e-05
66,5119,3115.537485080,3115.537572155,125,1,8.70750000103726e-05
67,5119,3115.637705683,3115.637797110,126,1,9.142699991571135e-05
68,5119,3115.737489091,3115.737586789,127,1,9.7697999990487e-05
69,5119,3115.837484503,3115.837594394,128,1,0.00010989100019287434
70,5119,3115.937511693,3115.937580495,129,1,6.880199998704484e-05
71,5119,3116.037633990,3116.037756425,130,1,0.00012243500032127486
72,5119,3116.137510039,3116.137578233,131,1,6.819400005042553e-05
73,5119,3116.237503916,3116.237610223,132,1,0.00010630699989633285
74,5119,3116.337479488,3116.337547618,133,1,6.812999981775647e-05
75,5119,3116.437488278,3116.437629945,134,1,0.0001416670002072351
76,5119,3116.537477898,3116.537542860,135,1,6.496200012406916e-05
77,5119,3116.637566722,3116.637637604,136,1,7.08819998180843e-05
78,5119,3116.737450132,3116.737543094,137,1,9.296200005337596e-05
79,5119,3116.837479913,3116.837550603,138,1,7.069000002957182e-05
80,5119,3116.937483615,3116.937552096,139,1,6.8481000198517e-05
81,5119,3117.037485556,3117.037557654,140,1,7.209800014607026e-05
82,5119,3117.137495785,3117.137563179,141,1,6.739400032529375e-05
83,5119,3117.237500414,3117.237566432,142,1,6.601800032512983e-05
84,5119,3117.337478450,3117.337541300,143,1,6.284999972194782e-05
85,5119,3117.437472039,3117.437567882,144,1,9.584300005371915e-05
86,5119,3117.537474460,3117.537535326,145,1,6.0866000239911955e-05
87,5119,3117.637506322,3117.637609909,146,1,0.00010358700001233956
88,5119,3117.737490727,3117.737561769,147,1,7.104199994500959e-05
89,5119,3117.837503132,3117.837609055,148,1,0.00010592299986456055
90,5119,3117.937494865,3117.937567475,149,1,7.260999973368598e-05
91,5119,3118.037499654,3118.037566376,150,1,6.672200015600538e-05
92,5119,3118.137481755,3118.137555421,151,1,7.366599993474665e-05
93,5119,3118.237486640,3118.237550865,152,1,6.422499973268714e-05
94,5119,3118.337482149,3118.337600488,153,1,0.0001183389999823703
95,5119,3118.437479865,3118.437552699,154,1,7.283400009328034e-05
96,5119,3118.537527024,3118.537644179,155,1,0.00011715499977071886
97,5119,3118.637485764,3118.637554597,156,1,6.883300011395477e-05
98,5119,3118.737487353,3118.737555322,157,1,6.796900015615392e-05
99,5119,3118.837481454,3118.837552271,158,1,7.081699959599064e-05
100,5119,3118.937473602,3118.937544772,159,1,7.116999995560036e-05
101,5119,3119.037492536,3119.037584282,160,1,9.174599972538999e-05
102,5119,3119.137478636,3119.137559119,161,1,8.048299969232175e-05
103,5119,3119.237473569,3119.237540707,162,1,6.713799984936486e-05
104,5119,3119.337489623,3119.337561241,163,1,7.161800022004172e-05
105,5119,3119.438701836,3119.438772398,164,1,7.056200001898105e-05
106,5119,3119.537504513,3119.537574211,165,1,6.969800006118021e-05
107,5119,3119.637497526,3119.637603961,166,1,0.00010643499990692362
108,5119,3119.737542220,3119.737617070,167,1,7.485000014639809e-05
109,5119,3119.837508480,3119.837637092,168,1,0.00012861200002589612
110,5119,3119.937475764,3119.937551734,169,1,7.597000012538047e-05
111,5119,3120.037477353,3120.037593516,170,1,0.00011616299980232725
112,5119,3120.137472606,3120.137563361,171,1,9.075500020117033e-05
113,5119,3120.237517908,3120.237590614,172,1,7.270600008268957e-05
114,5119,3120.337497929,3120.337569675,173,1,7.174599977588514e-05
115,5119,3120.437486526,3120.437582016,174,1,9.548999969410943e-05
116,5119,3120.537482802,3120.537545140,175,1,6.23380001343321e-05
117,5119,3120.637481063,3120.637545961,176,1,6.48979998914001e-05
118,5119,3120.737472636,3120.737538718,177,1,6.608200010305154e-05
119,5119,3120.837481489,3120.837548051,178,1,6.656200002908008e-05
120,5119,3120.937487430,3120.937584617,179,1,9.718699993754853e-05
121,5119,3121.037492476,3121.037569182,180,1,7.670600007259054e-05
122,5119,3121.137498129,3121.137570227,181,1,7.209800014607026e-05
123,5119,3121.237472549,3121.237542599,182,1,7.004999997661798e-05
124,5119,3121.337477466,3121.337588957,183,1,0.00011149100009788526
125,5119,3121.437480943,3121.437556785,184,1,7.58420001147897e-05
126,5119,3121.537474980,3121.537570727,185,1,9.574700015946291e-05
127,5119,3121.637491257,3121.637596796,186,1,0.00010553899983278825
128,5119,3121.737527375,3121.737598385,187,1,7.101000028342241e-05
129,5119,3121.837492739,3121.837585542,188,1,9.280299991587526e-05
130,5119,3121.937486392,3121.937552858,189,1,6.646599968007649e-05
131,5119,3122.037499118,3122.037609072,190,1,0.00010995399998137145
132,5119,3122.137485250,3122.137587653,191,1,0.00010240300025543547
133,5119,3122.237485527,3122.237560953,192,1,7.542599996668287e-05
134,5119,3122.337475404,3122.337540590,193,1,6.518600002891617e-05
135,5119,3122.437477377,3122.437541571,194,1,6.419400006052456e-05
136,5119,3122.537472342,3122.537536791,195,1,6.44490000922815e-05
137,5119,3122.637474891,3122.637559629,196,1,8.473800016872701e-05
138,5119,3122.737668069,3122.737802760,197,1,0.00013469099985741195
139,5119,3122.837492629,3122.837587160,198,1,9.45310002862243e-05
140,5119,3122.937485738,3122.937551436,199,1,6.569800007127924e-05
141,5119,3123.037475423,3123.037568129,200,1,9.270600003219442e-05
142,5119,3123.137477876,3123.137568118,201,1,9.024200016938266e-05
143,5119,3123.237553771,3123.237643629,202,1,8.985800013761036e-05
144,5119,3123.337481150,3123.337611617,203,1,0.00013046700041741133
145,5119,3123.437495155,3123.437631031,204,1,0.000135876000058488
146,5119,3123.537530761,3123.537598027,205,1,6.726599985995563e-05
147,5119,3123.637560447,3123.637630241,206,1,6.979399995543645e-05
148,5119,3123.737473745,3123.737590452,207,1,0.00011670699996102485
149,5119,3123.837483463,3123.837623082,208,1,0.00013961900003778283
150,5119,3123.937481468,3123.937558686,209,1,7.721800011495361e-05
151,5119,3124.037478864,3124.037585523,210,1,0.00010665899981177063
152,5119,3124.137475749,3124.137543847,211,1,6.809800015616929e-05
153,5119,3124.237490779,3124.237569629,212,1,7.885000013629906e-05
154,5119,3124.337485007,3124.337579346,213,1,9.433900004296447e-05
155,5119,3124.437490053,3124.437559846,214,1,6.979299996601185e-05
156,5119,3124.537512698,3124.537626749,215,1,0.00011405100030970061
157,5119,3124.637513359,3124.637589905,216,1,7.654599994566524e-05
158,5119,3124.737486435,3124.737557413,217,1,7.097800016708788e-05
159,5119,3124.837503225,3124.837575227,218,1,7.200199979706667e-05
160,5119,3124.937475565,3124.937606160,219,1,0.00013059499997325474
161,5119,3125.037476706,3125.037567428,220,1,9.07220000954112e-05
162,5119,3125.137479287,3125.137571449,221,1,9.216199987349682e-05
163,5119,3125.237479916,3125.237546958,222,1,6.704199995510862e-05
164,5119,3125.337499617,3125.337602980,223,1,0.00010336300010749255
165,5119,3125.437506103,3125.437582617,224,1,7.651399982933071e-05
166,5119,3125.538042938,3125.538350018,225,1,0.00030707999985679635
167,5119,3125.637474656,3125.637570370,226,1,9.571400005370378e-05
168,5119,3125.737478133,3125.737541878,227,1,6.37449998066586e-05
169,5119,3125.837745681,3125.837809715,228,1,6.403399993359926e-05
170,5119,3125.937486463,3125.937554913,229,1,6.845000007160706e-05
171,5119,3126.037479380,3126.037547893,230,1,6.851299986010417e-05
172,5119,3126.137478281,3126.137546122,231,1,6.784100014556316e-05
173,5119,3126.237481758,3126.237579232,232,1,9.747400008564e-05
174,5119,3126.337489331,3126.337557909,233,1,6.857800008219783e-05
175,5119,3126.437530441,3126.437598987,234,1,6.85459999658633e-05
176,5119,3126.537475068,3126.537563231,235,1,8.81630003277678e-05
177,5119,3126.637491890,3126.637565460,236,1,7.357000004049041e-05
178,5119,3126.737473862,3126.737571529,237,1,9.766699986357708e-05
179,5119,3126.837499612,3126.837571870,238,1,7.225799981824821e-05
180,5119,3126.937491601,3126.937560370,239,1,6.876899988128571e-05
181,5119,3127.037476325,3127.037541095,240,1,6.476999988080934e-05
182,5119,3127.137484314,3127.137552124,241,1,6.781000001865323e-05
183,5119,3127.237474351,3127.237544049,242,1,6.969800006118021e-05
184,5119,3127.337473156,3127.337573030,243,1,9.98739997157827e-05
185,5119,3127.437481177,3127.437574299,244,1,9.312200018030126e-05
186,5119,3127.537482286,3127.537584785,245,1,0.00010249900014969171
187,5119,3127.637478723,3127.637571621,246,1,9.28979998207069e-05
188,5119,3127.737477720,3127.737551226,247,1,7.35060002625687e-05
189,5119,3127.837473613,3127.837565903,248,1,9.228999988408759e-05
190,5119,3127.937474690,3127.937544131,249,1,6.944100005057408e-05
191,5119,3128.037488407,3128.037579705,250,1,9.129799991569598e-05
192,5119,3128.137489196,3128.137592751,251,1,0.00010355499989600503
193,5119,3128.237482497,3128.237587011,252,1,0.00010451399975863751
194,5119,3128.337482581,3128.337549239,253,1,6.665799992333632e-05
195,5119,3128.437505355,3128.437615182,254,1,0.00010982699996020528
196,5119,3128.537505888,3128.537583874,255,1,7.798600017849822e-05
197,5119,3128.637531062,3128.637597911,256,1,6.68489997224242e-05
198,5119,3128.737537643,3128.737627565,257,1,8.992199991553207e-05
199,5119,3128.837500319,3128.837599009,258,1,9.868999995887862e-05
200,5119,3128.937506484,3128.937585846,259,1,7.936199972391478e-05
201,5119,3129.037513641,3129.037623052,260,1,0.0001094110002668458
202,5119,3129.137494493,3129.137571615,261,1,7.712200022069737e-05
203,5119,3129.237492338,3129.237568916,262,1,7.657800006199977e-05
204,5119,3129.337492199,3129.337567113,263,1,7.491400037906715e-05
205,5119,3129.437490364,3129.437561118,264,1,7.075399980749353e-05
206,5119,3129.537487153,3129.537557779,265,1,7.062600025165011e-05
207,5119,3129.637486694,3129.637565192,266,1,7.849799976611394e-05
208,5119,3129.737500347,3129.737571965,267,1,7.161799976529437e-05
209,5119,3129.837495056,3129.837572242,268,1,7.718599999861908e-05
210,5119,3129.937474468,3129.937544742,269,1,7.027399988146499e-05
211,5119,3130.037472441,3130.037544507,270,1,7.206600002973573e-05
