iter,PID,start,end,instance,activation,response_time
0,5338,3143.913593938,3143.913862873,0,0,0.00026893500034930184
1,5338,3143.947010641,3143.947293720,409,0,0.0002830789999279659
2,5338,3143.980330861,3143.981359848,409,1,0.0010289870001543022
3,5338,3144.013714858,3144.014021747,409,0,0.0003068889996029611
4,5338,3144.047013766,3144.047231660,410,0,0.00021789399988847435
5,5338,3144.080346818,3144.081612644,410,1,0.0012658259997806454
6,5338,3144.113670142,3144.113883300,410,0,0.0002131579999513633
7,5338,3144.147011258,3144.147203584,411,0,0.00019232600016039214
8,5338,3144.181159085,3144.183367016,411,1,0.002207930999702512
9,5338,3144.213668627,3144.213878616,411,0,0.00020998899981350405
10,5338,3144.247002703,3144.247214485,412,0,0.0002117819999511994
11,5338,3144.280332587,3144.281456649,412,1,0.0011240620001444768
12,5338,3144.313666184,3144.313881805,412,0,0.00021562100027949782
13,5338,3144.346994372,3144.347239402,413,0,0.0002450299998599803
14,5338,3144.382947558,3144.385142241,413,1,0.002194682999743236
15,5338,3144.416352612,3144.416529641,413,0,0.0001770290000422392
16,5338,3144.447007001,3144.447226527,414,0,0.0002195259999098198
17,5338,3144.480334229,3144.481217677,414,1,0.0008834479999677569
18,5338,3144.513679698,3144.513904856,414,0,0.00022515799992106622
19,5338,3144.547007278,3144.547284789,415,0,0.00027751100014938856
20,5338,3144.582697993,3144.583650819,415,1,0.0009528260002298339
21,5338,3144.613721128,3144.613925101,415,0,0.00020397299977048533
22,5338,3144.646997090,3144.647231497,416,0,0.00023440700033461326
23,5338,3144.683582678,3144.685566475,416,1,0.001983796999866172
24,5338,3144.713703324,3144.713860512,416,0,0.0001571879997754877
25,5338,3144.748153974,3144.748417821,417,0,0.0002638470000420057
26,5338,3144.780337428,3144.781368239,417,1,0.0010308109999641601
27,5338,3144.813675920,3144.813896662,417,0,0.00022074199978305842
28,5338,3144.848090281,3144.851216285,418,0,0.0031260040000233857
29,5338,3144.884098221,3144.885170730,418,1,0.0010725090000960336
30,5338,3144.913674981,3144.913942764,418,0,0.0002677829997992376
31,5338,3144.947004097,3144.947235911,419,0,0.00023181400001703878
32,5338,3144.980339133,3144.981233749,419,1,0.0008946159996412462
33,5338,3145.013669146,3145.013887327,419,0,0.00021818099958181847
34,5338,3145.046998006,3145.047205083,420,0,0.00020707699968625093
