iter,PID,start,end,instance,activation,response_time
0,5189,3115.679175050,3115.685629206,0,1,0.006454156000017974
1,5189,3115.779155230,3115.785337892,0,1,0.006182661999901029
2,5189,3115.879150675,3115.883556745,0,1,0.004406070000186446
3,5189,3115.979154184,3115.984065867,0,1,0.004911683000045741
4,5189,3116.079651178,3116.084432554,0,1,0.0047813760002100025
5,5189,3116.179173971,3116.183677419,0,1,0.0045034479999230825
6,5189,3116.279144807,3116.284124108,0,1,0.004979300999821135
7,5189,3116.379146268,3116.384198883,0,1,0.0050526149998404435
8,5189,3116.479154961,3116.484663365,0,1,0.005508404000011069
9,5189,3116.579150374,3116.586409000,0,1,0.007258625999838841
10,5189,3116.679825517,3116.685088794,0,1,0.0052632769998126605
11,5189,3116.779144944,3116.784065940,0,1,0.004920995999782463
12,5189,3116.879164933,3116.888284762,0,1,0.009119828999700985
13,5189,3116.979167322,3116.984272739,0,1,0.0051054169998678844
14,5189,3117.079179120,3117.084276568,0,1,0.005097448000014992
15,5189,3117.179165572,3117.184201803,0,1,0.005036231000303815
16,5189,3117.279170842,3117.284693421,0,1,0.00552257900017139
17,5189,3117.379507064,3117.385328275,0,1,0.005821211000238691
18,5189,3117.479143395,3117.483639227,0,1,0.004495831999975053
19,5189,3117.579162712,3117.585473857,0,1,0.00631114499992691
20,5189,3117.679147565,3117.683650917,0,1,0.004503351999574079
21,5189,3117.779142562,3117.784102343,0,1,0.004959781000252406
22,5189,3117.879173656,3117.884399332,0,1,0.005225676000009116
23,5189,3117.979149004,3117.984295606,0,1,0.00514660199996797
24,5189,3118.079142753,3118.084659476,0,1,0.005516723000255297
25,5189,3118.179143190,3118.184266463,0,1,0.005123272999753681
26,5189,3118.279169676,3118.284428152,0,1,0.005258476000108203
27,5189,3118.379149312,3118.384149574,0,1,0.005000261999612121
28,5189,3118.479156725,3118.484284414,0,1,0.005127688999891689
29,5189,3118.579197163,3118.585862526,0,1,0.006665362999683566
30,5189,3118.679143807,3118.683223756,0,1,0.004079949000242777
31,5189,3118.779140980,3118.783777936,0,1,0.004636956000013015
32,5189,3118.879145961,3118.883916361,0,1,0.004770399999870278
33,5189,3118.979355331,3118.986468610,0,1,0.007113278999895556
34,5189,3119.079151763,3119.083398853,0,1,0.00424708999980794
35,5189,3119.179144552,3119.183275446,0,1,0.004130894000354601
36,5189,3119.279145117,3119.283636021,0,1,0.004490903999794682
37,5189,3119.379142258,3119.383296929,0,1,0.004154671000378585
38,5189,3119.479142791,3119.483178963,0,1,0.004036171999814542
39,5189,3119.579175197,3119.585113980,0,1,0.005938783000146941
40,5189,3119.679171922,3119.683167004,0,1,0.003995082000074035
41,5189,3119.779155014,3119.784914048,0,1,0.005759033999765961
