iter,PID,start,end,instance,activation,response_time
0,5019,3103.161150432,3103.161167552,0,1,1.711999993858626e-05
1,5019,3103.261242103,3103.261252984,0,1,1.0880999980145134e-05
2,5019,3103.361219724,3103.400269409,0,1,0.03904968500000905
3,5019,3103.461258722,3103.490115750,0,1,0.028857027999947604
4,5019,3103.561234262,3103.589086144,0,1,0.027851881999595207
5,5019,3103.661221419,3103.689202616,0,1,0.0279811969999173
6,5019,3103.761226560,3103.788853380,0,1,0.027626820000023145
7,5019,3103.861241078,3103.888275401,0,1,0.027034322999952565
8,5019,3103.961234059,3103.989581570,0,1,0.028347510999992664
9,5019,3104.061221535,3104.086951632,0,1,0.025730096999723173
10,5019,3104.161217620,3104.187840861,0,1,0.026623240999924747
11,5019,3104.261218121,3104.287126975,0,1,0.025908853999681014
12,5019,3104.361225215,3104.386927247,0,1,0.02570203200002652
13,5019,3104.461229204,3104.486933508,0,1,0.02570430400010082
14,5019,3104.561227913,3104.586883096,0,1,0.025655182999798853
15,5019,3104.661216958,3104.686763370,0,1,0.02554641200003971
16,5019,3104.761219699,3104.787416080,0,1,0.02619638100031807
17,5019,3104.861217736,3104.886949209,0,1,0.025731472999723337
18,5019,3104.961230749,3104.988345235,0,1,0.027114485999845783
19,5019,3105.061225714,3105.087461393,0,1,0.026235678999910306
20,5019,3105.161227911,3105.186794836,0,1,0.025566925000021
21,5019,3105.261236093,3105.289390670,0,1,0.028154576999895653
22,5019,3105.361221969,3105.388825396,0,1,0.027603427000030933
23,5019,3105.461226279,3105.486917270,0,1,0.02569099099991945
24,5019,3105.561234972,3105.586836841,0,1,0.025601869000183797
25,5019,3105.661221457,3105.687745495,0,1,0.02652403799993408
26,5019,3105.761218086,3105.787028633,0,1,0.025810546999764483
27,5019,3105.861218043,3105.887193266,0,1,0.025975222999932157
28,5019,3105.961227152,3105.986960353,0,1,0.025733201000093686
29,5019,3106.061239557,3106.086488137,0,1,0.02524857999969754
30,5019,3106.161221562,3106.186758982,0,1,0.025537420000091515
31,5019,3106.261222319,3106.286682873,0,1,0.025460553999892
32,5019,3106.361229540,3106.386574667,0,1,0.025345127000036882
33,5019,3106.461227289,3106.486821415,0,1,0.0255941260002146
34,5019,3106.561224398,3106.588244962,0,1,0.02702056399994035
35,5019,3106.661215587,3106.686483688,0,1,0.02526810100016519
36,5019,3106.761222520,3106.787367700,0,1,0.026145179999730317
37,5019,3106.861245582,3106.887937465,0,1,0.026691883000239613
38,5019,3106.961218818,3106.986859281,0,1,0.025640462999945157
39,5019,3107.061218840,3107.087026602,0,1,0.025807762000113144
40,5019,3107.161237517,3107.188869009,0,1,0.027631492000182334
41,5019,3107.261243970,3107.289424629,0,1,0.028180659000099695
42,5019,3107.361241303,3107.390768558,0,1,0.0295272550001755
43,5019,3107.461223884,3107.486176840,0,1,0.024952956000106497
44,5019,3107.561230625,3107.586228062,0,1,0.02499743699991086
45,5019,3107.661231062,3107.686408088,0,1,0.025177026000164915
46,5019,3107.761224075,3107.786955100,0,1,0.025731024999913643
47,5019,3107.861263329,3107.887518816,0,1,0.026255487000071298
48,5019,3107.961257846,3107.989002621,0,1,0.027744774999973743
49,5019,3108.061230666,3108.089696036,0,1,0.028465370000049006
50,5019,3108.161228383,3108.187296729,0,1,0.026068346000101883
51,5019,3108.261226548,3108.286325268,0,1,0.025098719999732566
52,5019,3108.361238602,3108.386620049,0,1,0.02538144700019984
53,5019,3108.461249983,3108.487071602,0,1,0.025821618999998464
54,5019,3108.561228916,3108.586941028,0,1,0.02571211200029211
55,5019,3108.661215816,3108.686495213,0,1,0.02527939699984927
56,5019,3108.761250462,3108.787043825,0,1,0.025793363000047975
57,5019,3108.861235315,3108.887627414,0,1,0.02639209899962225
58,5019,3108.961243048,3108.986871830,0,1,0.025628781999785133
59,5019,3109.061261118,3109.086578148,0,1,0.025317030000223895
60,5019,3109.161257555,3109.187532786,0,1,0.02627523099999962
61,5019,3109.261231431,3109.286700561,0,1,0.025469130000146833
62,5019,3109.361236220,3109.386612996,0,1,0.025376776000030077
63,5019,3109.461234353,3109.486609977,0,1,0.025375624000389507
64,5019,3109.561220966,3109.587215454,0,1,0.025994488000378624
65,5019,3109.661220187,3109.686269626,0,1,0.02504943900021317
66,5019,3109.761222640,3109.786205805,0,1,0.024983164999866858
