instance,start,end,response_time
412,3143.995862604,3144.346754397,0.3508917929998461
413,3144.095316019,3144.446750546,0.35143452700003763
414,3144.195360585,3144.546701158,0.35134057300001587
415,3144.295314076,3144.646738523,0.35142444699977204
416,3144.395256368,3144.746719024,0.35146265599996696
417,3144.495431945,3144.846708164,0.35127621900028316
418,3144.595722822,3144.954726800,0.35900397800014616
419,3144.695272015,3145.046726895,0.35145488000034675
420,3144.795300772,3145.146707235,0.3514064630003304
421,3144.895299257,3145.246739993,0.35144073600031334
422,3144.996125028,3145.346698444,0.3505734160003158
423,3145.095290627,3145.446764643,0.3514740159998837
424,3145.195309912,3145.546693782,0.3513838700000633
425,3145.295262155,3145.646682282,0.35142012699998304
426,3145.395278625,3145.746693792,0.35141516699968633
427,3145.495275254,3145.846682612,0.3514073580004151
428,3145.595268298,3145.947821351,0.3525530530000651
429,3145.695281919,3146.046713023,0.35143110399985744
430,3145.796106698,3146.146691347,0.3505846489997566
431,3145.895292521,3146.246720009,0.3514274879998993
432,3145.995283646,3146.346732798,0.3514491519999865
433,3146.096110633,3146.446745427,0.3506347940001433
434,3146.195341769,3146.546746952,0.35140518299976975
435,3146.295272732,3146.646722620,0.35144988800038846
436,3146.395261073,3146.746708240,0.3514471670000603
437,3146.495260070,3146.846706725,0.3514466550000179
438,3146.595278043,3146.947873465,0.35259542200037686
439,3146.696098566,3147.046742608,0.3506440420001127
440,3146.795400904,3147.146842855,0.35144195100019715
441,3146.896096783,3147.246740250,0.3506434670002818
442,3146.995277998,3147.346732622,0.35145462400032557
443,3147.096403873,3147.446723875,0.35032000199998947
444,3147.196118350,3147.546728856,0.3506105060000664
445,3147.295455634,3147.646733517,0.3512778829999661
446,3147.395270753,3147.746772867,0.3515021139996861
447,3147.495264758,3147.846752919,0.3514881610003613
448,3147.595297740,3147.948171154,0.35287341399998695
449,3147.695266656,3148.046713984,0.3514473279997219
450,3147.795351575,3148.146713268,0.35136169299994435
451,3147.895830873,3148.246691305,0.3508604319999904
452,3147.996106421,3148.346736127,0.350629705999836
453,3148.095637789,3148.446687314,0.35104952499978026
454,3148.195512527,3148.546754601,0.3512420739998561
455,3148.295448546,3148.646745405,0.3512968589998309
456,3148.395263250,3148.746726706,0.35146345600014683
457,3148.495269479,3148.846709350,0.35143987099991136
458,3148.595331101,3148.948332742,0.35300164099999165
459,3148.695264880,3149.046695823,0.3514309429997411
460,3148.795601518,3149.146701860,0.35110034200033624
461,3148.895324795,3149.246745146,0.35142035100034263
462,3148.995396338,3149.346760720,0.3513643820001562
463,3149.095269092,3149.446756036,0.3514869440000439
464,3149.195580481,3149.546710040,0.3511295590001282
465,3149.295326127,3149.646701996,0.3513758690000941
466,3149.396117913,3149.746796868,0.3506789549996938
467,3149.495406811,3149.846750391,0.35134358000004795
468,3149.595334221,3149.947655204,0.3523209830000269
469,3149.695278913,3150.046709120,0.3514302069997939
470,3149.795264821,3150.146732309,0.35146748800025307
471,3149.895466927,3150.246709386,0.35124245899987727
472,3149.995269439,3150.346689630,0.3514201910002157
473,3150.096129963,3150.446792790,0.35066282700017837
474,3150.196067294,3150.546726761,0.3506594670002414
475,3150.296114580,3150.646727165,0.350612584999908
476,3150.395301843,3150.746727826,0.35142598299989913
477,3150.495266215,3150.846713063,0.3514468480002506
478,3150.596090002,3150.948212196,0.3521221940000032
479,3150.696114631,3151.048222265,0.3521076339998217
480,3150.795268102,3151.146736070,0.35146796799972435
481,3150.895304059,3151.246874206,0.35157014700007494
482,3150.996715158,3151.346713647,0.3499984889999723
483,3151.095265348,3151.447053709,0.35178836100021726
484,3151.195370492,3151.546725401,0.3513549089998378
485,3151.295306287,3151.646703341,0.35139705399978993
486,3151.395261602,3151.746694114,0.35143251199997394
487,3151.495278808,3151.846704119,0.3514253110001846
488,3151.595438033,3151.947717511,0.3522794780001277
489,3151.696106871,3152.046747745,0.35064087399996424
490,3151.795326327,3152.148230014,0.35290368699998
491,3151.895693718,3152.246712522,0.35101880399997754
492,3151.995483877,3152.346700831,0.3512169539999377
493,3152.096147116,3152.448202460,0.35205534400029137
494,3152.195282345,3152.546726057,0.35144371199976376
495,3152.296198807,3152.646689405,0.35049059799985116
496,3152.395271027,3152.746716050,0.3514450229999966
